instance,nb_nodes,nb_arcs,time_ms
"USA-road-d.NY",264346,733846,23.755
"USA-road-t.NY",264346,733846,27.2088
"USA-road-d.BAY",321270,800172,28.7978
"USA-road-t.BAY",321270,800172,32.2413
"USA-road-d.COL",435666,1057066,38.9112
"USA-road-t.COL",435666,1057066,42.9175
"USA-road-d.FLA",1070376,2712798,91.4819
"USA-road-t.FLA",1070376,2712798,102.765
"USA-road-d.NW",1207945,2840208,119.471
"USA-road-t.NW",1207945,2840208,134.957
"USA-road-d.NE",1524453,3897636,175.629
"USA-road-t.NE",1524453,3897636,195.359
