instance,nb_nodes,nb_arcs,time_ms
"USA-road-d.NY",264346,733846,35.8741
"USA-road-t.NY",264346,733846,39.3521
"USA-road-d.BAY",321270,800172,41.9818
"USA-road-t.BAY",321270,800172,45.2673
"USA-road-d.COL",435666,1057066,56.4926
"USA-road-t.COL",435666,1057066,60.0529
"USA-road-d.FLA",1070376,2712798,135.713
"USA-road-t.FLA",1070376,2712798,147.283
"USA-road-d.NW",1207945,2840208,168.033
"USA-road-t.NW",1207945,2840208,200.699
"USA-road-d.NE",1524453,3897636,261.532
"USA-road-t.NE",1524453,3897636,291.626
