instance,nb_nodes,nb_arcs,time_ms
"USA-road-d.NY",264346,733846,29.1893
"USA-road-t.NY",264346,733846,33.9742
"USA-road-d.BAY",321270,800172,35.5971
"USA-road-t.BAY",321270,800172,39.8902
"USA-road-d.COL",435666,1057066,47.4899
"USA-road-t.COL",435666,1057066,52.102
"USA-road-d.FLA",1070376,2712798,117.69
"USA-road-t.FLA",1070376,2712798,126.499
"USA-road-d.NW",1207945,2840208,142.349
"USA-road-t.NW",1207945,2840208,162.408
"USA-road-d.NE",1524453,3897636,210.026
"USA-road-t.NE",1524453,3897636,247.857
