instance,nb_nodes,nb_arcs,time_ms
"USA-road-d.NY",264346,733846,30.6535
"USA-road-t.NY",264346,733846,33.4707
"USA-road-d.BAY",321270,800172,36.8114
"USA-road-t.BAY",321270,800172,39.9867
"USA-road-d.COL",435666,1057066,49.6589
"USA-road-t.COL",435666,1057066,53.2762
"USA-road-d.FLA",1070376,2712798,121.592
"USA-road-t.FLA",1070376,2712798,132.509
"USA-road-d.NW",1207945,2840208,150.909
"USA-road-t.NW",1207945,2840208,166.338
"USA-road-d.NE",1524453,3897636,217.9
"USA-road-t.NE",1524453,3897636,242.077
