instance,nb_nodes,nb_arcs,time_ms
"USA-road-d.NY",264346,733846,16.7584
"USA-road-t.NY",264346,733846,18.9998
"USA-road-d.BAY",321270,800172,18.2984
"USA-road-t.BAY",321270,800172,20.1875
"USA-road-d.COL",435666,1057066,27.9962
"USA-road-t.COL",435666,1057066,26.1911
"USA-road-d.FLA",1070376,2712798,71.4046
"USA-road-t.FLA",1070376,2712798,77.3623
"USA-road-d.NW",1207945,2840208,86.7792
"USA-road-t.NW",1207945,2840208,94.4657
"USA-road-d.NE",1524453,3897636,123.073
"USA-road-t.NE",1524453,3897636,134.542
