instance,nb_nodes,nb_arcs,time_ms
"USA-road-d.NY",264346,733846,21.974
"USA-road-t.NY",264346,733846,24.6401
"USA-road-d.BAY",321270,800172,25.7863
"USA-road-t.BAY",321270,800172,29.137
"USA-road-d.COL",435666,1057066,35.6501
"USA-road-t.COL",435666,1057066,38.6764
"USA-road-d.FLA",1070376,2712798,87.8062
"USA-road-t.FLA",1070376,2712798,96.613
"USA-road-d.NW",1207945,2840208,105.534
"USA-road-t.NW",1207945,2840208,117.309
"USA-road-d.NE",1524453,3897636,156.648
"USA-road-t.NE",1524453,3897636,172.477
