instance,nb_nodes,nb_arcs,time_ms
"USA-road-d.NY",264346,733846,22.9952
"USA-road-t.NY",264346,733846,25.7062
"USA-road-d.BAY",321270,800172,26.9029
"USA-road-t.BAY",321270,800172,29.9937
"USA-road-d.COL",435666,1057066,36.2666
"USA-road-t.COL",435666,1057066,39.3866
"USA-road-d.FLA",1070376,2712798,89.0085
"USA-road-t.FLA",1070376,2712798,97.7058
"USA-road-d.NW",1207945,2840208,109.469
"USA-road-t.NW",1207945,2840208,121.006
"USA-road-d.NE",1524453,3897636,160.486
"USA-road-t.NE",1524453,3897636,177.424
