instance,nb_nodes,nb_arcs,time_ms
"USA-road-d.NY",264346,733846,13.9845
"USA-road-t.NY",264346,733846,15.2339
"USA-road-d.BAY",321270,800172,16.4385
"USA-road-t.BAY",321270,800172,17.6854
"USA-road-d.COL",435666,1057066,22.8416
"USA-road-t.COL",435666,1057066,24.044
"USA-road-d.FLA",1070376,2712798,54.4721
"USA-road-t.FLA",1070376,2712798,60.4734
"USA-road-d.NW",1207945,2840208,66.1805
"USA-road-t.NW",1207945,2840208,72.7743
"USA-road-d.NE",1524453,3897636,93.8605
"USA-road-t.NE",1524453,3897636,103.854
