instance,nb_nodes,nb_arcs,time_ms
"USA-road-d.NY",264346,733846,13.4237
"USA-road-t.NY",264346,733846,14.6512
"USA-road-d.BAY",321270,800172,16.0954
"USA-road-t.BAY",321270,800172,17.2525
"USA-road-d.COL",435666,1057066,22.3748
"USA-road-t.COL",435666,1057066,23.4795
"USA-road-d.FLA",1070376,2712798,53.5005
"USA-road-t.FLA",1070376,2712798,57.5568
"USA-road-d.NW",1207945,2840208,65.4124
"USA-road-t.NW",1207945,2840208,70.4882
"USA-road-d.NE",1524453,3897636,93.3167
"USA-road-t.NE",1524453,3897636,103.699
