instance,nb_nodes,nb_arcs,time_ms
"USA-road-d.NY",264346,733846,27.2247
"USA-road-t.NY",264346,733846,31.1215
"USA-road-d.BAY",321270,800172,31.5964
"USA-road-t.BAY",321270,800172,35.277
"USA-road-d.COL",435666,1057066,42.7659
"USA-road-t.COL",435666,1057066,46.601
"USA-road-d.FLA",1070376,2712798,109.287
"USA-road-t.FLA",1070376,2712798,119.534
"USA-road-d.NW",1207945,2840208,129.348
"USA-road-t.NW",1207945,2840208,143.431
"USA-road-d.NE",1524453,3897636,190.068
"USA-road-t.NE",1524453,3897636,210.635
