instance,nb_nodes,nb_arcs,time_ms
"USA-road-d.NY",264346,733846,18.2132
"USA-road-t.NY",264346,733846,20.5066
"USA-road-d.BAY",321270,800172,21.936
"USA-road-t.BAY",321270,800172,24.2631
"USA-road-d.COL",435666,1057066,31.5151
"USA-road-t.COL",435666,1057066,32.5404
"USA-road-d.FLA",1070376,2712798,70.7316
"USA-road-t.FLA",1070376,2712798,77.6414
"USA-road-d.NW",1207945,2840208,91.3802
"USA-road-t.NW",1207945,2840208,99.4946
"USA-road-d.NE",1524453,3897636,129.687
"USA-road-t.NE",1524453,3897636,154.963
