instance,nb_nodes,nb_arcs,time_ms
"USA-road-d.NY",264346,733846,22.8074
"USA-road-t.NY",264346,733846,25.4388
"USA-road-d.BAY",321270,800172,26.7665
"USA-road-t.BAY",321270,800172,29.8476
"USA-road-d.COL",435666,1057066,36.3437
"USA-road-t.COL",435666,1057066,39.3962
"USA-road-d.FLA",1070376,2712798,89.9376
"USA-road-t.FLA",1070376,2712798,98.9602
"USA-road-d.NW",1207945,2840208,109.055
"USA-road-t.NW",1207945,2840208,120.452
"USA-road-d.NE",1524453,3897636,159.327
"USA-road-t.NE",1524453,3897636,176.469
