instance,nb_nodes,nb_arcs,time_ms
"USA-road-d.NY",264346,733846,14.8743
"USA-road-t.NY",264346,733846,16.6463
"USA-road-d.BAY",321270,800172,17.5853
"USA-road-t.BAY",321270,800172,19.3706
"USA-road-d.COL",435666,1057066,24.4751
"USA-road-t.COL",435666,1057066,26.0956
"USA-road-d.FLA",1070376,2712798,57.811
"USA-road-t.FLA",1070376,2712798,64.1632
"USA-road-d.NW",1207945,2840208,73.8776
"USA-road-t.NW",1207945,2840208,81.439
"USA-road-d.NE",1524453,3897636,107.62
"USA-road-t.NE",1524453,3897636,124.218
